source,target,weight
上汽集团,首创股份,1
上汽集团,中信证券,1
上汽集团,象屿股份,1
上汽集团,国投安信,1
上汽集团,南京高科,1
上汽集团,海泰发展,1
永鼎股份,白云机场,1
永鼎股份,东风汽车,1
永鼎股份,上海机场,1
永鼎股份,皖通高速,1
永鼎股份,日照港,1
永鼎股份,中原高速,1
永鼎股份,上海电力,1
永鼎股份,华电国际,1
永鼎股份,福建高速,1
永鼎股份,歌华有线,1
永鼎股份,浙江广厦,1
永鼎股份,华润万东,1
永鼎股份,*ST光学,1
永鼎股份,上海梅林,1
永鼎股份,保千里,1
永鼎股份,青鸟华光,1
永鼎股份,*ST明科,1
永鼎股份,禾嘉股份,1
永鼎股份,大名城,1
永鼎股份,林海股份,1
永鼎股份,同方股份,1
重庆路桥,山东钢铁,1
美尔雅,武钢股份,1
美尔雅,华能国际,1
美尔雅,皖通高速,1
美尔雅,日照港,1
美尔雅,宝钢股份,1
美尔雅,中原高速,1
美尔雅,上海电力,1
美尔雅,中海发展,1
美尔雅,华电国际,1
美尔雅,南方航空,1
美尔雅,福建高速,1
美尔雅,楚天高速,1
美尔雅,招商银行,1
美尔雅,中国联通,1
美尔雅,黄山旅游,1
美尔雅,皖维高新,1
美尔雅,啤酒花,1
美尔雅,哈高科,1
美尔雅,广州发展,1
美尔雅,青山纸业,1
亚盛集团,首创股份,1
亚盛集团,上港集团,1
亚盛集团,人福医药,1
亚盛集团,特变电工,1
国金证券,人福医药,1
国金证券,金花股份,1
中科英华,东风汽车,1
中科英华,上海机场,1
中科英华,中直股份,1
中科英华,中江地产,1
中科英华,保千里,1
中科英华,青鸟华光,1
中科英华,东方金钰,1
中科英华,*ST明科,1
中科英华,开创国际,1
北方稀土,三一重工,1
天成控股,宁波联合,1
天成控股,浙江富润,1
东睦股份,上港集团,1
东睦股份,浙能电力,1
东睦股份,金花股份,1
东睦股份,东风科技,1
东睦股份,博信股份,1
东睦股份,中视传媒,1
东睦股份,特变电工,1
东睦股份,亚盛集团,1
东睦股份,国金证券,1
东方航空,武钢股份,1
东方航空,东风汽车,1
东方航空,华能国际,1
东方航空,皖通高速,1
东方航空,日照港,1
东方航空,中原高速,1
东方航空,中海发展,1
东方航空,华电国际,1
东方航空,南方航空,1
东方航空,招商银行,1
东方航空,中国联通,1
东方航空,皖维高新,1
东方航空,广州发展,1
东方航空,青山纸业,1
东方航空,美尔雅,1
三峡水利,华夏银行,1
三峡水利,葛洲坝,1
西宁特钢,澄星股份,1
西宁特钢,明星电力,1
中国卫星,浦发银行,1
中国卫星,白云机场,1
中国卫星,东风汽车,1
中国卫星,上海机场,1
中国卫星,皖通高速,1
中国卫星,日照港,1
中国卫星,中原高速,1
中国卫星,上海电力,1
中国卫星,华电国际,1
中国卫星,福建高速,1
中国卫星,歌华有线,1
中国卫星,中直股份,1
中国卫星,浙江广厦,1
中国卫星,中江地产,1
中国卫星,华润万东,1
中国卫星,象屿股份,1
中国卫星,国投安信,1
中国卫星,南京高科,1
中国卫星,*ST光学,1
中国卫星,上海梅林,1
中国卫星,保千里,1
中国卫星,青鸟华光,1
中国卫星,东风科技,1
中国卫星,中视传媒,1
中国卫星,*ST明科,1
中国卫星,禾嘉股份,1
中国卫星,大名城,1
中国卫星,林海股份,1
中国卫星,同方股份,1
中国卫星,永鼎股份,1
中国卫星,中科英华,1
长江投资,首创股份,1
长江投资,上港集团,1
长江投资,浙能电力,1
长江投资,中直股份,1
长江投资,金花股份,1
长江投资,东风科技,1
长江投资,博信股份,1
长江投资,中视传媒,1
长江投资,特变电工,1
长江投资,亚盛集团,1
长江投资,国金证券,1
长江投资,东睦股份,1
浙江东方,浦发银行,1
浙江东方,白云机场,1
浙江东方,中国国贸,1
浙江东方,首创股份,1
浙江东方,上海机场,1
浙江东方,上港集团,1
浙江东方,中原高速,1
浙江东方,上海电力,1
浙江东方,福建高速,1
浙江东方,歌华有线,1
浙江东方,中直股份,1
浙江东方,中江地产,1
浙江东方,华润万东,1
浙江东方,象屿股份,1
浙江东方,国投安信,1
浙江东方,南京高科,1
浙江东方,*ST光学,1
浙江东方,上海梅林,1
浙江东方,东风科技,1
浙江东方,海泰发展,1
浙江东方,博信股份,1
浙江东方,同仁堂,1
浙江东方,中视传媒,1
浙江东方,特变电工,1
浙江东方,*ST明科,1
浙江东方,禾嘉股份,1
浙江东方,大名城,1
浙江东方,林海股份,1
浙江东方,同方股份,1
浙江东方,中国卫星,1
郑州煤电,中国石化,1
郑州煤电,三一重工,1
郑州煤电,*ST银鸽,1
郑州煤电,云天化,1
宏图高科,浦发银行,1
宏图高科,白云机场,1
宏图高科,东风汽车,1
宏图高科,上海机场,1
宏图高科,华能国际,1
宏图高科,皖通高速,1
宏图高科,日照港,1
宏图高科,中原高速,1
宏图高科,上海电力,1
宏图高科,中海发展,1
宏图高科,华电国际,1
宏图高科,福建高速,1
宏图高科,楚天高速,1
宏图高科,歌华有线,1
宏图高科,中直股份,1
宏图高科,浙江广厦,1
宏图高科,中江地产,1
宏图高科,华润万东,1
宏图高科,国投安信,1
宏图高科,南京高科,1
宏图高科,*ST光学,1
宏图高科,上海梅林,1
宏图高科,保千里,1
宏图高科,*ST明科,1
宏图高科,禾嘉股份,1
宏图高科,大名城,1
宏图高科,林海股份,1
宏图高科,同方股份,1
宏图高科,永鼎股份,1
宏图高科,中国卫星,1
宏图高科,浙江东方,1
兰花科创,三一重工,1
兰花科创,北方稀土,1
铁龙物流,华夏银行,1
铁龙物流,山东钢铁,1
铁龙物流,中国联通,1
铁龙物流,黄山旅游,1
铁龙物流,海信电器,1
铁龙物流,皖维高新,1
铁龙物流,葛洲坝,1
铁龙物流,广州发展,1
铁龙物流,重庆路桥,1
铁龙物流,三峡水利,1
杭钢股份,浦发银行,1
杭钢股份,白云机场,1
杭钢股份,东风汽车,1
杭钢股份,中国国贸,1
